	Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.granularity	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	dataset_reader.use_subtrees	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.aggregations	model.encoder.architecture.bidirectional	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.num_layers	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.elmo.do_layer_norm	model.input_embedder.token_embedders.elmo.dropout	model.input_embedder.token_embedders.elmo.options_file	model.input_embedder.token_embedders.elmo.requires_grad	model.input_embedder.token_embedders.elmo.type	model.input_embedder.token_embedders.elmo.weight_file	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.granularity	validation_dataset_reader.lazy	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.type	validation_dataset_reader.use_subtrees	validation_loss	vocabulary.max_vocab_size
10	10	2	0.8979357798165137	0.34185994948659626	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	11	False	64	basic	0.1	['maxpool meanpool attention']	True	478	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4405.068	6953	7043	6601	5851		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	6.081174524790978e-06	adam	10	+accuracy	0.9966698382492865	4405.068	14006.0	11	5825	6603	6601	5851	0.01328681676827704	0	0.8910550458715596	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.7801013588905334	
11	11	10	0.9013761467889908	0.8074677331107003	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	19	False	64	basic	0.3	['meanpool attention maxpool final_state']	True	253	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4373.295999999999	6953	7043	6601	5859		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	8.948943500854094e-06	adam	10	+accuracy	0.9998481689171408	4373.276	22664.0	19	5825	6615	6237	5859	0.0009862929904547524	0	0.8979357798165137	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	1.027543570314135	
12	12	0	0.5091743119266054	2.995441024856908	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	9	False	64	basic	0.2	['attention']	True	280	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4369.8	4717	4799	6867	6757		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.05814012340469834	adam	10	+accuracy	0.5276838674413425	4369.795999999999	11390.0	9	4717	4799	6867	6757	0.7304380033840787	0	0.5091743119266054	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.7185328219618116	
13	13	0	0.8555045871559633	0.3616981655359268	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	9	False	64	basic	0.4	['final_state maxpool meanpool']	True	199	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4369.164000000001	7441	5025	5137	6761		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00045950270774129903	adam	10	+accuracy	0.9869526489462924	4369.164000000001	11448.0	9	6899	5025	4445	6761	0.033802727119722084	0	0.841743119266055	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.5900429721389499	
14	14	0	0.9059633027522936	0.2527888779129301	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	9	False	64	basic	0.0	['final_state meanpool attention']	True	309	1024	3	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4407.416	6895	6615	6255	5859		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.0001733273954147258	adam	10	+accuracy	0.9915784359374052	4407.396	11549.0	9	5413	6615	6255	5781	0.024845543604312764	0	0.8727064220183486	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.5345470064452716	
15	15	0	0.8818807339449541	0.3049926278846605	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	9	False	64	basic	0.2	['meanpool maxpool final_state']	True	441	1024	3	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4441.92	6953	7043	6601	5851		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.0003787236682326505	adam	10	+accuracy	0.9802518371561026	4441.907999999999	11804.0	9	5807	7043	6601	5851	0.052797846652934126	0	0.8532110091743119	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.5007443768637521	
16	16	3	0.9174311926605504	0.2942086538033826	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	12	False	64	basic	0.0	['meanpool attention maxpool final_state']	True	172	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4366.476	7441	7015	4455	6761		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	2.4988011236306894e-05	adam	10	+accuracy	0.9999696337834282	4366.44	14756.000000000002	12	6947	5025	4455	5823	8.245612563122322e-05	0	0.9174311926605504	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.6683580300637654	
17	17	0	0.5091743119266054	0.7005545496940613	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	9	False	64	basic	0.1	['maxpool meanpool attention final_state']	True	334	1024	3	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4385.732	5617	4799	6887	7975		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.05303169020833032	adam	10	+accuracy	0.5235743061319513	4385.732	11855.0	9	5617	4799	4773	7975	0.7925107479095459	0	0.4908256880733945	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.9617670848965644	
18	18	0	0.9059633027522936	0.24346312348331725	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	9	False	64	basic	0.1	['final_state']	True	326	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4393.012	5825	7043	6601	5859		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	2.4505505050693124e-05	adam	10	+accuracy	0.9998481689171408	4393.012	11396.0	9	5825	6607	6237	5859	0.0005345702602850289	0	0.8887614678899083	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.7022503593138286	
19	19	5	0.8532110091743119	0.39531147267137257	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	14	False	64	basic	0.2	['maxpool final_state']	True	459	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4389.104	7227	5437	7263	7455		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.0006161880582828602	adam	10	+accuracy	0.9949996963378342	4389.104	17397.0	14	7227	5437	7263	7455	0.014730311001872963	0	0.8371559633027523	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.7108628856284278	
20	20	6	0.8784403669724771	0.3790727768625532	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	15	False	64	basic	0.1	['maxpool attention final_state meanpool']	True	329	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4371.384	5731	6015	7271	5751		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00040842372883408997	adam	10	+accuracy	0.99983804684495	4371.3679999999995	18369.0	15	5731	6015	5137	5751	0.0007831236887447249	0	0.8497706422018348	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	1.0398045714412416	
21	21	10	0.5103211009174312	0.6952621042728424	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	19	False	64	basic	0.4	['meanpool final_state']	True	492	1024	3	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4462.708	5731	6017	7271	7197		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.004474910375674492	adam	10	+accuracy	0.567696418810859	4462.708	23907.0	19	5731	6017	5137	7163	0.6803065005670558	0	0.5103211009174312	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.6986655124596187	
22	22	1	0.5091743119266054	1.5419059885399682	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	10	False	64	basic	0.1	['attention']	True	283	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4357.872	6673	5521	7271	4787		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.0966850041089809	adam	10	+accuracy	0.5302649958499503	4357.872	12363.0	10	4675	5521	7271	4787	0.7297747733139004	0	0.4908256880733945	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.6983450395720345	
23	23	1	0.5091743119266054	0.7385787921292442	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	10	False	64	basic	0.4	['meanpool maxpool']	True	69	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4350.332	5731	5531	5947	5751		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.0023344811872976034	adam	10	+accuracy	0.5683442314310586	4350.3279999999995	12460.0	10	5731	5463	5947	5751	0.6839573049406313	0	0.5091743119266054	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.6987984691347394	
