Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
10	0	0.7872	0.5935928734797465	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.3					50.0			[1, 2, 3, 4, 5]	193.0		376.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2588.072	599	599	599	599	599.0	677.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0006721345292716785	adam	10	+accuracy	0.9887	2588.072	38.0	9	599	599	599	599	599.0	677.0	599.0	599.0	0.05961810829485676	0	0.7609999999999999	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.0019862829129906
11	2	0.622	1.1932903181148478	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	11	64	basic	0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2617.98	613	599	599	613	593.0	599.0	599.0	1015.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	7.217555069176256e-05	adam	10	+accuracy	0.6018	2617.98	34.0	11	613	599	599	613	593.0	599.0	599.0	721.0	1.0760793655541292	0	0.6068	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.070928077909011
12	24	0.7206	0.8382632030716425	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	33	64	basic	0.0												linear					bag_of_word_counts	classifier	2573.192	599	599	1353	593	903.0	743.0	797.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00021438743359057018	adam	10	+accuracy	0.7569	2573.192	3279.0	33	593	599	593	593	599.0	599.0	739.0	599.0	0.754795602172803	0	0.7206	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.8377105073083805
13	0	0.772	0.6255594227887407	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2581.408	599	599	599	611	599.0	599.0	811.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.08240665956763284	adam	10	+accuracy	0.9908	2581.396	30.000000000000004	9	599	599	599	611	599.0	599.0	0.0	599.0	0.044632868900610384	0	0.7198	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.2128155299379857
14	11	0.5108	1.2400096156929112	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	20	64	basic	0.2			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2581.276	613	599	599	599	599.0	599.0	767.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.1970761445981044e-06	adam	10	+accuracy	0.4423	2581.276	58.00000000000001	20	613	599	599	599	599.0	599.0	767.0	599.0	1.2482280495819773	0	0.5104	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.2395825597304333
15	32	0.7042	0.8156072014494787	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	41	64	basic	0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2580.848	599	599	599	599	593.0	599.0	613.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00028937924974845047	adam	10	+accuracy	0.7162	2580.848	116.0	41	599	599	599	599	593.0	599.0	613.0	599.0	0.7928091458454254	0	0.7042	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.815505183195766
16	3	0.7874	0.577054807656928	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	12	64	basic	0.2		final_state		True		366.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2591.476	797	599	599	1009	593.0	763.0	599.0	657.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0005567597649872349	adam	10	+accuracy	0.9064	2591.476	77.0	12	797	599	599	599	593.0	763.0	599.0	657.0	0.2691999334058944	0	0.754	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6988482196119767
17	26	0.7714	0.6152915905548048	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	35	64	basic	0.4		final_state		True		433.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2596.204	613	599	959	1221	789.0	599.0	613.0	967.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00012290315277796104	adam	10	+accuracy	0.7989	2596.204	263.0	35	613	599	959	1221	593.0	599.0	599.0	919.0	0.5485612154006958	0	0.7712	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6151839758776412
18	20	0.2818	1.3920000052150292	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	29	64	basic	0.4			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2581.304	599	599	613	593	599.0	599.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	7.238100174950183e-06	adam	10	+accuracy	0.237	2581.304	83.0	29	599	599	613	593	599.0	599.0	599.0	599.0	1.4208020852629546	0	0.2818	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.391555731809592
19	16	0.767	0.6252692153182211	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	25	64	basic	0.0		maxpool		True		429.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2609.896	599	1145	1347	599	599.0	599.0	757.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	6.014636696037497e-05	adam	10	+accuracy	0.779	2609.896	236.00000000000003	25	599	1145	613	599	599.0	599.0	709.0	599.0	0.5825740862044559	0	0.7658	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6239164090609248
20	0	0.633	1.3546542925170706	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.0												linear					bag_of_word_counts	classifier	2572.492	593	599	593	593	839.0	743.0	797.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	2.235286884372374e-05	adam	10	+accuracy	0.6215	2572.484	992.0	9	593	599	593	593	599.0	21.0	797.0	599.0	1.1906333280976409	0	0.6182	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.2007502483416208
21	1	0.7834	0.5787042730216738	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	10	64	basic	0.1		final_state		True		303.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2598.152	599	599	599	1333	593.0	599.0	593.0	1031.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0010188068859898415	adam	10	+accuracy	0.9696	2598.152	84.0	10	599	599	599	1333	593.0	599.0	593.0	1031.0	0.09646130852685993	0	0.736	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.2601435471184643
22	10	0.7879999999999999	0.8314396576790871	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	19	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7]	489.0		94.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2586.132	599	599	903	593	903.0	599.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0005459399755844949	adam	10	+accuracy	0.9943	2586.132	89.0	19	599	599	903	593	903.0	599.0	599.0	599.0	0.017447227944329288	0	0.7842	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.8471572210517111
23	32	0.7008	0.8295645864703988	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	41	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	69.0		444.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2584.12	843	599	593	745	599.0	665.0	765.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	8.083651529304103e-06	adam	10	+accuracy	0.6962	2584.12	197.0	41	773	599	593	613	599.0	665.0	611.0	599.0	0.8364965255093423	0	0.7008	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.8290803221207631
24	17	0.7634	0.6246933782402473	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	26	64	basic	0.1		attention		True		203.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2589.148	599	599	931	593	903.0	599.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	8.325434728092109e-05	adam	10	+accuracy	0.7855	2589.148	195.0	26	599	599	931	593	599.0	599.0	599.0	599.0	0.5758937239457088	0	0.7612	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6242924196810662
25	12	0.7852	0.5862039931212799	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	21	64	basic	0.0		attention		True		99.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2583.968	599	599	599	599	611.0	639.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0002822400947070081	adam	10	+accuracy	0.8255	2583.968	119.0	21	599	599	599	599	599.0	639.0	599.0	599.0	0.4722095607382477	0	0.7818	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5873454179190383
26	16	0.5394	1.0669156569468825	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	25	64	basic	0.0		maxpool		True		105.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2584.924	599	1145	729	599	599.0	613.0	723.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	6.897806995871228e-06	adam	10	+accuracy	0.535	2584.924	178.0	25	599	947	729	599	599.0	613.0	723.0	599.0	1.0684300915450806	0	0.5394	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.0650242929217182
27	2	0.7902	0.562105385185797	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	11	64	basic	0.3					50.0			[1, 2, 3, 4, 5]	151.0		496.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2583.468	599	599	657	593	599.0	599.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00043340548412590076	adam	10	+accuracy	0.993	2583.468	47.0	11	599	599	657	593	599.0	599.0	599.0	599.0	0.02586315177191215	0	0.7738	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.9069799494139756
28	5	0.7744	1.0139780070962785	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	14	64	basic	0.1					50.0			[1, 2, 3, 4, 5]	447.0		489.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2589.684	599	599	599	839	599.0	593.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.002080685041266072	adam	10	+accuracy	0.9924	2589.684	59.00000000000001	14	599	599	599	839	599.0	593.0	321.0	599.0	0.019315177895081272	0	0.7564	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.0570716092103645
29	43	0.7174	0.7816899494279789	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	49	64	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	343.0		126.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2586.24	725	599	599	599	599.0	599.0	767.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	7.13764551439819e-06	adam	10	+accuracy	0.7189	2586.24	223.0	49	725	599	599	599	599.0	599.0	767.0	599.0	0.7825525801652556	0	0.7174	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7814369126211239
30	2	0.6468	1.3558908866930612	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	11	64	basic	0.4												linear					bag_of_word_counts	classifier	2575.08	839	613	959	1221	789.0	599.0	613.0	1015.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.0623974332281714e-05	adam	10	+accuracy	0.6336	2575.08	562.0	11	759	599	599	10	593.0	599.0	599.0	775.0	1.3134528056831116	0	0.625	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.3163627793517294
31	26	0.4804	1.2859379717066317	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	35	64	basic	0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2580.82	599	613	593	599	593.0	785.0	593.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.158608380512361e-05	adam	10	+accuracy	0.4675	2580.82	103.0	35	599	613	593	599	593.0	481.0	593.0	599.0	1.2866821775011197	0	0.48	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.2857784908029095
